Date,Open,High,Low,Close,Volume
2025-06-01,100.1325,100.2326,100.0324,100.1325,1000000
2025-06-02,99.7175,99.8172,99.6178,99.7175,1000000
2025-06-03,99.8178,99.9176,99.7179,99.8178,1000000
2025-06-04,100.5526,100.6532,100.4521,100.5526,1000000
2025-06-05,98.8364,98.9353,98.7376,98.8364,1000000
2025-06-06,100.5507,100.6512,100.4501,100.5507,1000000
2025-06-07,100.1406,100.2407,100.0404,100.1406,1000000
2025-06-08,99.5934,99.693,99.4938,99.5934,1000000
2025-06-09,98.6005,98.6991,98.5019,98.6005,1000000
2025-06-10,99.5685,99.6681,99.469,99.5685,1000000
2025-06-11,100.2904,100.3907,100.1901,100.2904,1000000
2025-06-12,101.5886,101.6902,101.487,101.5886,1000000
2025-06-13,102.5467,102.6492,102.4441,102.5467,1000000
2025-06-14,102.8676,102.9705,102.7648,102.8676,1000000
2025-06-15,103.257,103.3603,103.1537,103.257,1000000
2025-06-16,104.2743,104.3786,104.1701,104.2743,1000000
2025-06-17,103.4114,103.5148,103.3079,103.4114,1000000
2025-06-18,103.4156,103.519,103.3122,103.4156,1000000
2025-06-19,103.8622,103.9661,103.7584,103.8622,1000000
2025-06-20,103.4441,103.5476,103.3407,103.4441,1000000
2025-06-21,104.2424,104.3466,104.1381,104.2424,1000000
2025-06-22,103.9274,104.0313,103.8235,103.9274,1000000
2025-06-23,104.6786,104.7833,104.5739,104.6786,1000000
2025-06-24,104.8781,104.983,104.7732,104.8781,1000000
2025-06-25,105.4157,105.5211,105.3103,105.4157,1000000
2025-06-26,103.8685,103.9724,103.7647,103.8685,1000000
2025-06-27,103.0269,103.1299,102.9239,103.0269,1000000
2025-06-28,104.4637,104.5681,104.3592,104.4637,1000000
2025-06-29,104.7019,104.8067,104.5972,104.7019,1000000
2025-06-30,104.6692,104.7738,104.5645,104.6692,1000000
2025-07-01,105.7302,105.8359,105.6245,105.7302,1000000
2025-07-02,106.577,106.6835,106.4704,106.577,1000000
2025-07-03,106.5804,106.687,106.4738,106.5804,1000000
2025-07-04,105.9483,106.0543,105.8424,105.9483,1000000
2025-07-05,108.0789,108.1869,107.9708,108.0789,1000000
2025-07-06,108.8794,108.9883,108.7706,108.8794,1000000
2025-07-07,107.2222,107.3294,107.115,107.2222,1000000
2025-07-08,108.1759,108.2841,108.0678,108.1759,1000000
2025-07-09,109.0613,109.1704,108.9523,109.0613,1000000
2025-07-10,110.0035,110.1135,109.8935,110.0035,1000000
