Date,Open,High,Low,Close,Volume
2025-06-01,99.2087,99.3079,99.1095,99.2087,1000000
2025-06-02,98.9168,99.0157,98.8179,98.9168,1000000
2025-06-03,99.936,100.0359,99.836,99.936,1000000
2025-06-04,100.0911,100.1912,99.991,100.0911,1000000
2025-06-05,100.8279,100.9287,100.7271,100.8279,1000000
2025-06-06,101.2934,101.3947,101.1921,101.2934,1000000
2025-06-07,100.7777,100.8784,100.6769,100.7777,1000000
2025-06-08,101.2146,101.3158,101.1134,101.2146,1000000
2025-06-09,100.9582,101.0592,100.8573,100.9582,1000000
2025-06-10,100.6979,100.7986,100.5972,100.6979,1000000
2025-06-11,100.7761,100.8769,100.6754,100.7761,1000000
2025-06-12,99.5459,99.6455,99.4464,99.5459,1000000
2025-06-13,100.4953,100.5958,100.3948,100.4953,1000000
2025-06-14,99.9558,100.0557,99.8558,99.9558,1000000
2025-06-15,100.7557,100.8564,100.6549,100.7557,1000000
2025-06-16,100.8655,100.9664,100.7647,100.8655,1000000
2025-06-17,102.1018,102.2039,101.9997,102.1018,1000000
2025-06-18,101.5627,101.6643,101.4611,101.5627,1000000
2025-06-19,101.3094,101.4107,101.2081,101.3094,1000000
2025-06-20,101.5831,101.6847,101.4815,101.5831,1000000
2025-06-21,99.7892,99.889,99.6894,99.7892,1000000
2025-06-22,100.4501,100.5506,100.3497,100.4501,1000000
2025-06-23,101.689,101.7907,101.5873,101.689,1000000
2025-06-24,102.6056,102.7083,102.503,102.6056,1000000
2025-06-25,103.2252,103.3284,103.122,103.2252,1000000
2025-06-26,103.1046,103.2078,103.0015,103.1046,1000000
2025-06-27,104.162,104.2662,104.0578,104.162,1000000
2025-06-28,105.057,105.1621,104.9519,105.057,1000000
2025-06-29,105.387,105.4924,105.2816,105.387,1000000
2025-06-30,105.3913,105.4967,105.2859,105.3913,1000000
2025-07-01,105.0863,105.1914,104.9812,105.0863,1000000
2025-07-02,104.052,104.1561,103.948,104.052,1000000
2025-07-03,105.0728,105.1778,104.9677,105.0728,1000000
2025-07-04,103.247,103.3502,103.1437,103.247,1000000
2025-07-05,102.9412,103.0442,102.8383,102.9412,1000000
2025-07-06,103.0766,103.1797,102.9735,103.0766,1000000
2025-07-07,103.7857,103.8895,103.6819,103.7857,1000000
